時間,成交價,成交張數
10:56:10,"1,170",8
10:56:05,"1,170",2
10:55:40,"1,165",1
10:55:35,"1,170",10
10:55:20,"1,165",2
10:55:15,"1,165",2
10:55:05,"1,165",1
10:54:35,"1,170",2
10:54:20,"1,170",3
10:54:10,"1,165",1
10:54:05,"1,165",3
10:54:00,"1,170",1
10:53:55,"1,170",1
10:53:35,"1,165",1
10:53:25,"1,170",1
10:53:20,"1,170",8
10:53:15,"1,165",2
10:53:05,"1,165",6
10:52:50,"1,165",1
10:52:40,"1,170",2
10:52:35,"1,165",1
10:52:25,"1,165",2
10:52:15,"1,165",2
10:52:10,"1,165",1
10:52:05,"1,170",13
10:51:50,"1,170",4
10:51:40,"1,165",1
10:51:15,"1,170",26
10:50:50,"1,170",1
10:50:25,"1,170",1
10:50:10,"1,165",17
10:50:05,"1,165",1
10:50:00,"1,170",2
10:48:45,"1,165",1
10:48:25,"1,165",2
10:48:20,"1,165",3
10:48:10,"1,170",2
10:47:55,"1,170",1
10:47:45,"1,170",5
10:47:40,"1,170",1
10:47:35,"1,170",3
10:47:00,"1,165",1
10:46:40,"1,170",1
10:46:15,"1,170",1
10:46:10,"1,170",2
10:45:55,"1,165",6
10:45:20,"1,165",1
10:45:15,"1,165",1
10:45:10,"1,165",1
10:44:55,"1,170",4
10:44:00,"1,165",1
10:43:40,"1,170",2
10:43:35,"1,165",1
10:43:30,"1,165",26
10:42:50,"1,165",2
10:42:25,"1,165",3
10:42:15,"1,170",67
10:42:00,"1,170",2
10:41:35,"1,170",1
10:41:30,"1,170",3
10:40:50,"1,170",3
10:40:25,"1,170",1
10:40:20,"1,170",3
10:40:00,"1,170",3
10:39:55,"1,170",1
10:39:30,"1,170",1
10:39:10,"1,170",1
10:38:40,"1,170",1
10:38:30,"1,175",1
10:38:25,"1,170",4
10:38:10,"1,170",3
10:38:00,"1,170",2
10:37:55,"1,170",10
10:37:45,"1,170",10
10:36:55,"1,175",1
10:36:20,"1,170",1
10:36:00,"1,170",8
10:35:55,"1,170",1
10:35:25,"1,170",2
10:34:45,"1,170",1
10:34:40,"1,175",1
10:34:35,"1,175",1
10:34:25,"1,175",2
10:34:10,"1,170",1
10:34:00,"1,170",9
10:33:50,"1,175",7
10:33:45,"1,170",15
10:33:40,"1,170",13
10:33:35,"1,175",39
10:33:30,"1,170",6
10:33:25,"1,175",9
10:33:10,"1,170",25
10:32:55,"1,175",234
10:32:45,"1,175",1
10:32:40,"1,175",1
10:31:45,"1,180",2
10:31:20,"1,175",2
10:30:55,"1,180",1
10:30:45,"1,180",1
10:30:15,"1,175",2
10:30:00,"1,180",3
10:29:20,"1,180",1
10:29:15,"1,180",1
10:28:10,"1,175",1
10:28:00,"1,175",1
10:27:30,"1,175",2
10:27:25,"1,175",5
10:27:15,"1,175",1
10:26:55,"1,175",1
10:26:50,"1,180",1
10:26:35,"1,180",2
10:26:20,"1,175",34
10:26:00,"1,175",1
10:24:55,"1,180",1
10:24:35,"1,175",1
10:23:20,"1,180",1
10:23:15,"1,180",11
10:23:10,"1,180",114
10:23:05,"1,185",2
10:23:00,"1,185",1
10:22:45,"1,180",5
10:21:20,"1,185",2
10:21:15,"1,180",1
10:21:10,"1,180",2
10:20:50,"1,180",1
10:20:35,"1,185",1
10:20:15,"1,185",1
10:19:35,"1,185",2
10:19:25,"1,185",1
10:19:05,"1,185",1
10:19:00,"1,180",5
10:18:55,"1,180",2
10:18:35,"1,185",1
10:18:25,"1,185",3
10:17:55,"1,185",1
10:17:50,"1,180",1
10:17:45,"1,185",5
10:17:35,"1,185",5
10:17:15,"1,185",3
10:16:40,"1,180",2
10:15:45,"1,180",1
10:15:25,"1,180",1
10:15:15,"1,185",1
10:15:10,"1,180",1
10:14:45,"1,180",3
10:14:35,"1,180",2
10:14:30,"1,180",7
10:14:25,"1,180",2
10:13:55,"1,180",3
10:13:30,"1,185",1
10:13:25,"1,185",1
10:13:00,"1,180",1
10:12:15,"1,180",2
10:12:05,"1,180",6
10:12:00,"1,180",2
10:11:55,"1,180",1
10:11:35,"1,180",1
10:11:30,"1,180",5
10:11:20,"1,185",1
10:11:05,"1,180",1
10:10:55,"1,180",1
10:10:25,"1,180",1
10:10:10,"1,180",1
10:10:05,"1,180",2
10:09:55,"1,180",2
10:09:50,"1,180",12
10:09:45,"1,180",11
10:09:30,"1,180",1
10:09:10,"1,185",2
10:08:40,"1,185",1
10:08:30,"1,185",1
10:08:10,"1,185",1
10:07:40,"1,180",1
10:07:30,"1,185",1
10:07:00,"1,180",1
10:06:25,"1,185",1
10:06:15,"1,180",1
10:05:45,"1,185",2
10:05:15,"1,180",1
10:05:10,"1,185",1
10:04:20,"1,180",1
10:03:35,"1,185",1
10:03:20,"1,185",1
10:02:40,"1,185",1
10:02:35,"1,185",1
10:02:30,"1,180",1
10:02:15,"1,185",2
10:02:10,"1,185",2
10:02:05,"1,185",1
10:01:45,"1,185",2
10:01:30,"1,185",1
10:01:15,"1,185",2
10:01:00,"1,185",2
10:00:30,"1,185",1
10:00:25,"1,185",2
10:00:15,"1,185",122
10:00:10,"1,180",10
10:00:00,"1,180",1
09:59:45,"1,180",1
09:59:40,"1,175",5
09:59:20,"1,180",1
09:59:15,"1,180",12
09:59:10,"1,180",7
09:58:50,"1,180",4
09:58:45,"1,180",2
09:58:30,"1,180",5
09:58:25,"1,180",2
09:58:10,"1,175",1
09:57:35,"1,180",1
09:57:25,"1,180",1
09:57:15,"1,180",1
09:56:35,"1,175",1
09:56:15,"1,180",1
09:56:10,"1,180",1
09:55:50,"1,180",1
09:54:10,"1,175",1
09:54:00,"1,180",1
09:53:55,"1,175",2
09:53:15,"1,175",12
09:52:15,"1,180",2
09:52:10,"1,175",1
09:51:55,"1,180",1
09:51:50,"1,175",5
09:51:45,"1,175",1
09:50:00,"1,175",3
09:48:50,"1,180",1
09:48:05,"1,180",1
09:47:50,"1,180",3
09:47:45,"1,180",1
09:47:40,"1,180",6
09:47:30,"1,180",6
09:47:00,"1,180",3
09:46:25,"1,175",1
09:45:55,"1,180",2
09:44:30,"1,180",5
09:44:10,"1,180",1
09:43:30,"1,175",24
09:43:25,"1,180",56
09:43:10,"1,180",2
09:43:00,"1,180",10
09:42:50,"1,180",1
09:42:30,"1,180",10
09:42:20,"1,175",6
09:42:15,"1,175",11
09:42:00,"1,175",1
09:41:55,"1,175",1
09:41:50,"1,170",14
09:41:45,"1,175",2
09:41:35,"1,175",1
09:41:25,"1,175",7
09:41:15,"1,175",1
09:41:05,"1,175",2
09:40:45,"1,175",2
09:40:30,"1,175",1
09:40:20,"1,175",1
09:40:05,"1,175",1
09:40:00,"1,175",1
09:39:40,"1,175",3
09:39:15,"1,170",4
09:39:05,"1,170",3
09:38:50,"1,175",1
09:38:40,"1,175",2
09:38:10,"1,175",3
09:38:05,"1,175",1
09:38:00,"1,175",2
09:37:50,"1,170",1
09:37:45,"1,175",4
09:37:40,"1,170",27
09:37:25,"1,175",1
09:37:20,"1,175",10
09:37:05,"1,175",10
09:37:00,"1,175",1
09:36:50,"1,175",5
09:36:45,"1,175",1
09:36:25,"1,175",1
09:36:05,"1,170",6
09:36:00,"1,175",5
09:35:55,"1,175",2
09:35:45,"1,170",2
09:35:40,"1,175",1
09:35:35,"1,175",5
09:35:30,"1,170",1
09:35:20,"1,170",1
09:35:15,"1,175",5
09:33:35,"1,170",1
09:33:30,"1,170",1
09:32:45,"1,175",1
09:32:20,"1,170",1
09:32:05,"1,175",2
